SYS_ID,BRAND,YY,SEASON,YYSEASON,STYLE_NO,STYLE_PO_NO,DEGREE,ITEM,SELLINGPRICE,MFGCOST,MARKUP,PURCHASEPRICE
FNF,I,25,N,25N,7ACRMD65N,7ACRMD65NK0006,K0006,CR,89000,17050,5,17000
FNF,I,25,N,25N,7ACRMD55N,7ACRMD55NK0008,K0008,CR,89000,20050,4,20000
FNF,I,25,N,25N,7ACRMD75N,7ACRMD75NK0004,K0004,CR,99000,15750,6,15700
FNF,X,25,4,25F,DXWJ3G054,DXWJ3G054D0001,D0001,WJ,639000,10000,58,10000
FNF,X,25,4,25F,DXWJ3G054,DXWJ3G054C0001,C0001,WJ,639000,10000,58,10000
FNF,X,25,6,25F,DMTR77056,DMTR77056K0001,K0001,TR,159000,10000,14,10000
FNF,X,25,6,25F,DWJP32056,DWJP32056K0001,K0001,JP,439000,10000,40,10000
FNF,M,25,N,25N,3ACPD035N,3ACPD035ND0003,D0003,CP,53000,7480,6,7480
FNF,M,25,N,25N,3ACPB045N,3ACPB045NG0005,G0005,CP,39000,51,696,1
FNF,M,25,N,25N,3ACPV015N,3ACPV015NV0001,V0001,CP,43000,51,768,1
FNF,I,25,N,25N,7ABKB0C5N,7ABKB0C5NK0001,K0001,BK,59000,13970,4,13920
FNF,I,25,N,25N,7ABKB0D5N,7ABKB0D5NK0001,K0001,BK,79000,15830,5,15780
FNF,V,25,N,25N,VXCP1035N,VXCP1035NK0001,K0001,CP,130000,16380,7,1
FNF,X,25,N,25N,DXSH5165N,DXSH5165NK0001,K0001,SH,149000,32550,4,32550
FNF,X,25,N,25N,DXSH5155N,DXSH5155NK0001,K0001,SH,149000,31450,4,31450
FNF,M,25,N,25N,3ASXM075N,3ASXM075ND0005,D0005,SX,159000,10,14455,10
FNF,M,25,N,25N,3ASHWD15N,3ASHWD15ND0005,D0005,SH,179000,31020,5,31020
FNF,M,25,N,25N,3ASHW045N,3ASHW045ND0003,D0003,SH,159000,10,14455,10
FNF,M,25,N,25N,3ASOMB45N,3ASOMB45NG0001,G0001,SO,9900,1640,5,1590
FNF,I,25,3,25S,7ATSB3853,7ATSB3853K0001,K0001,TS,33000,6390,5,6270
FNF,M,25,N,25N,3ASHWD15N,3ASHWD15NK0012,K0012,SH,179000,10,16273,10
FNF,M,25,N,25N,3ASXD015N,3ASXD015NK0003,K0003,SX,139000,26673,5,26150
FNF,M,25,N,25N,3ASXE015N,3ASXE015NK0007,K0007,SX,169000,10,15364,10
FNF,X,25,4,25F,DMRL31054,DMRL31054K0001,K0001,RL,59000,10000,5,10000
FNF,M,25,4,25F,3ATSV2054,3ATSV2054C0001,C0001,TS,79000,121,594,1
FNF,M,25,N,25N,3AETX025N,3AETX025NG0001,G0001,ET,18900,51,338,1
FNF,M,25,4,25F,3ATSB2154,3ATSB2154C0001,C0001,TS,89000,121,669,1
FNF,M,25,4,25F,3ATSV2154,3ATSV2154C0001,C0001,TS,79000,121,594,1
FNF,M,25,N,25N,3ASHW075N,3ASHW075NK0006,K0006,SH,149000,26071,5,25560
FNF,M,25,1,25S,3ATSB0351,3ATSB0351T0001,T0001,TS,79000,11720,6,11600
FNF,M,25,N,25N,3AORM015N,3AORM015NC0001,C0001,OR,159000,21850,7,21800
